subject,correct,total,score
econometrics,24,113,0.21238938053097345
conceptual_physics,53,150,0.35333333333333333
international_law,56,120,0.4666666666666667
clinical_knowledge,61,150,0.4066666666666667
jurisprudence,44,107,0.411214953271028
professional_accounting,50,150,0.3333333333333333
high_school_microeconomics,46,149,0.3087248322147651
logical_fallacies,46,150,0.30666666666666664
business_ethics,47,86,0.5465116279069767
elementary_mathematics,39,150,0.26
high_school_psychology,79,150,0.5266666666666666
sociology,76,150,0.5066666666666667
moral_disputes,50,148,0.33783783783783783
japanese_geography,60,139,0.4316546762589928
high_school_macroeconomics,61,148,0.41216216216216217
high_school_european_history,74,150,0.49333333333333335
high_school_chemistry,45,149,0.30201342281879195
world_religions,58,147,0.3945578231292517
security_studies,40,150,0.26666666666666666
electrical_engineering,52,144,0.3611111111111111
high_school_biology,61,148,0.41216216216216217
high_school_physics,43,150,0.2866666666666667
japanese_history,57,150,0.38
high_school_computer_science,39,98,0.3979591836734694
philosophy,62,150,0.41333333333333333
virology,55,150,0.36666666666666664
astronomy,50,148,0.33783783783783783
marketing,80,150,0.5333333333333333
college_chemistry,28,99,0.2828282828282828
college_physics,32,100,0.32
college_biology,54,143,0.3776223776223776
world_history,69,150,0.46
professional_psychology,56,150,0.37333333333333335
high_school_mathematics,45,150,0.3
management,48,102,0.47058823529411764
high_school_statistics,45,150,0.3
computer_security,47,99,0.47474747474747475
college_computer_science,26,99,0.26262626262626265
human_aging,62,150,0.41333333333333333
medical_genetics,41,99,0.41414141414141414
college_mathematics,36,99,0.36363636363636365
high_school_geography,70,150,0.4666666666666667
formal_logic,42,125,0.336
anatomy,48,132,0.36363636363636365
machine_learning,32,111,0.2882882882882883
japanese_civics,90,150,0.6
human_sexuality,58,130,0.4461538461538462
professional_medicine,48,150,0.32
japanese_idiom,119,150,0.7933333333333333
prehistory,62,150,0.41333333333333333
abstract_algebra,29,99,0.29292929292929293
college_medicine,57,150,0.38
public_relations,52,109,0.47706422018348627
nutrition,63,149,0.4228187919463087
miscellaneous,68,150,0.4533333333333333
global_facts,25,97,0.25773195876288657
